#,no,name,laps,lead,lap_time,speed,elapsed_time,passing_time,hits,strength,noice,photocell_time,transponder,backup_tx,backup_passing_time,class,deleted
1,,Warmup Flag,,,,,,9:51:08.313,,,,,,,,,
2,,Green Flag,,,,,0.000,10:02:14.585,,,,,,,,,
3,44.0,Tommes Pack Seat Leon,0.0,0.0,,0'0,5.858,10:02:20.443,268.0,177.0,3.0,,9788538.0,0.0,,R2,No
4,47.0,Nordic Light Racing Seat Leon,0.0,0.0,,0'0,6.359,10:02:20.944,157.0,161.0,3.0,,7650748.0,0.0,,R2,No
5,3.0,Team Häsen Racing Sweden VW Polo,0.0,0.0,,0'0,6.708,10:02:21.293,168.0,151.0,3.0,,9515691.0,0.0,,R1,No
6,4.0,SMK Racing Renault Clio,0.0,0.0,,0'0,6.841,10:02:21.426,229.0,170.0,3.0,,7622978.0,0.0,,R1,No
7,30.0,Team Gävlarna Clio ,0.0,0.0,,0'0,7.284,10:02:21.869,192.0,164.0,3.0,,3289056.0,0.0,,R1,No
8,27.0,B.E.T BMW 330,0.0,0.0,,0'0,7.768,10:02:22.353,161.0,158.0,3.0,,7493526.0,0.0,,R1,No
9,6.0,SPEeD S60 Racing Team S60 Challange,0.0,0.0,,0'0,9.061,10:02:23.646,115.0,149.0,3.0,,4800537.0,0.0,,R2,No
10,2.0,Team Skeppsbrons BMW M3 E36,0.0,0.0,,0'0,10.142,10:02:24.727,170.0,160.0,3.0,,4867808.0,0.0,,R1,No
11,99997.0,clio helvit N/N,0.0,0.0,,0'0,11.435,10:02:26.020,147.0,167.0,3.0,,641641.0,0.0,,GT Open,No
12,86.0,clio 86,0.0,0.0,,0'0,14.556,10:02:29.141,150.0,167.0,3.0,,7722174.0,0.0,,GT Open,No
13,71.0,Roslagen Racing BMW 323 Compact,0.0,0.0,,0'0,15.497,10:02:30.082,110.0,152.0,3.0,,7637509.0,0.0,,Standard,No
14,44.0,Tommes Pack Seat Leon,1.0,1.0,1:11.614,108'1,1:17.472,10:03:32.057,148.0,177.0,3.0,,9788538.0,0.0,,R2,No
15,47.0,Nordic Light Racing Seat Leon,1.0,1.0,1:11.775,107'8,1:18.134,10:03:32.719,88.0,155.0,3.0,,7650748.0,0.0,,R2,No
